Mixture	Macrophages	Epithelial_1	T cell	Mesenchymal	Endothelial	Epithelial_2	CAFs	Dendritic	Epithelial_3	P-value	Correlation	RMSE
TCGA-25-1312-01A	0.0452274726853024	0.770026392420662	0	0.0869028723703842	0.0159891314816162	0.00568547244028732	0.00269365454538214	0.00837792948496851	0.0650970745713971	0	0.477457387311644	0.882395955523683
TCGA-24-1419-01A	0.0134824161146108	0.793899900316225	0	0.112144976655655	0.0182735197036748	0.0144743723110398	0	0.0436231417311116	0.00410167316768326	0	0.430365631541814	0.903557813527894
TCGA-13-1498-01A	0.0701150200903822	0.712759322221098	0	0.0570230242389125	0.00438164909167551	0.0197493849065407	0.0465320636760238	0.00688186683816045	0.0825576689372072	0	0.479044539381788	0.880892540278414
TCGA-24-1469-01A	0.0372192505830861	0.657457054196918	0	0.0317606620318101	0	0	0	0	0.273563033188186	0	0.575003921693374	0.834042624361118
TCGA-25-1877-01A	0.0934157141374463	0.512342676501189	0	0.192058512177291	0.014282278912289	0	0	0.0869772170197782	0.100923601252006	0.004	0.249885943794087	0.985907027004028
TCGA-24-2261-01A	0.133497489556374	0.58966431964223	0	0.0353187603219938	0.00342183775354342	0	0.130638062423267	0.00931269325966964	0.0981468370429224	0	0.60871544461591	0.807914989103132
TCGA-61-2003-01A	0.118491907405144	0.443462546454766	0	0.202808334039204	0.0176064952860783	0	0.147285831558959	0	0.0703448852558491	0	0.627266153963643	0.782143790982554
TCGA-24-1847-01A	0.159495988059914	0.584207397545452	0.00132022712387876	0.0796491793892071	0.020354218431559	0.00883089978830486	0.0234933468256079	0	0.122648742836076	0	0.669789539698585	0.784678345290519
TCGA-04-1514-01A	0	0.693020526908764	0	0.264341242072404	0	0.0246146991836472	0	0.0180235318351847	0	0	0.480569575412602	0.878067933126901
TCGA-25-1313-01A	0.105329608489365	0.525103716941308	0	0.131306570848797	0.0106385262466538	0	0.0227720017291531	0	0.204849575744723	0	0.49758830587595	0.871786809441246
TCGA-57-1993-01A	0.0529553089000424	0.676184587083915	0	0.0827512529607248	0	0.0254860987050725	0	0	0.162622752350245	0	0.585173572481796	0.832115261836624
TCGA-10-0933-01A	0	0.548893167684293	0.00379149582846122	0.247938780024598	0.0133929982239263	0	0	0	0.185983558238721	0	0.378406949134376	0.92743564892322
TCGA-13-0725-01A	0.0711018371984907	0.502874395582267	0	0.0494902567801557	0.00571009860830034	0	0.0903613297910303	0	0.280462082039756	0	0.521774508966768	0.858120196358436
TCGA-10-0936-01A	0.0447085054518089	0.706724645072496	0	0.00546641461586393	0.00666321811778903	0.0883423519794908	0	0.000264665552931269	0.14783019920962	0	0.572156703063978	0.835989138867254
TCGA-61-1910-01A	0.0489741961456528	0.890987591332071	0	0.0280555034155773	0.0218075631195105	0	0.00191670037772231	0.000433559942988088	0.00782488566647778	0	0.471288055159106	0.884601125030925
TCGA-25-2401-01A	0.163665497837719	0.4363462163943	0	0.0787932876335807	0.00622101532419873	0	0.20610725132273	0	0.108866731487472	0	0.61662021987864	0.789935205901926
TCGA-25-2400-01A	0.0467273472314264	0.509851357902508	0	0.0889975739444302	0	0	0	0	0.354423720921636	0.002	0.291712128385686	0.964457205862287
TCGA-04-1365-01A	0.110708522544984	0.629238942939124	0	0.0262814596526172	0.00950660982833163	0.0086723145062738	0.00305461562779669	0	0.212537534900873	0	0.597202455882903	0.823421437668756
TCGA-61-1733-01A	0.0322057510531897	0.667598714443007	0	0.070208857260928	0	0	0.160759819191779	0	0.0692268580510962	0	0.474550047717923	0.880563985733057
TCGA-57-1585-01A	0.113871998079942	0.441352495730897	0	0.0439122528509058	0	0.0190588423052045	0.329958034704424	0	0.0518463763286279	0	0.713191937502213	0.70210755836715
TCGA-25-1632-01A	0	0.856466038535369	0	0.0879631855429995	0.0189959569954077	0.0237270657570972	0.00711871369149096	0	0.00572903947763561	0	0.514336549810725	0.864481747578438
TCGA-25-1321-01A	0.0246248334935473	0.684028619392724	0	0.101168532899519	0.0100159804149995	0.0316182982327923	0	0	0.148543735566419	0	0.4831772103689	0.87997357544356
TCGA-13-0887-01A	0.0406436305335225	0.512928068641849	0	0.0661416093963073	0.00618560933868544	0.0044498412453409	0.0172270545333599	0	0.352424186310935	0	0.565696195241725	0.838512568227875
TCGA-04-1651-01A	0.0236702165210046	0.703373734816349	0	0.015191897867751	0.00513226482000429	0	0	0.000144373072299136	0.252487512902592	0	0.465279752153894	0.886956530064974
TCGA-13-1510-01A	0.0297513503841418	0.592103938112718	0	0.0447456303604955	0.0218439413639733	0.0100288573958115	0.0171898329223704	0.0160616354088986	0.268274814051591	0	0.513248310395052	0.865069303180437
TCGA-24-1104-01A	0.0687513287351534	0.641043384597379	0	0.0589743552757241	0.0116532177469852	0	0.0129212787422542	0	0.206656434902504	0	0.514019155725211	0.865232268350251
TCGA-29-1696-01A	0.0493552593162864	0.542355208767026	0	0.0393510088941455	0.0154533066353563	0.121439451550553	0	0.0127521702035463	0.219293594633086	0	0.539267231838853	0.85307511530754
TCGA-25-2392-01A	0.240076743695603	0.583805710069432	0	0.0400913063952575	0.0101530887542836	0.00442827272136977	0.0082757502300651	0.0124275940418604	0.100741534092129	0	0.573735704749171	0.828014331403798
TCGA-23-1119-01A	0.0719899946354674	0.42725872242881	0	0.097021315873679	0.00590846544463244	0.01197585914319	0.0476648394837223	0.00634503686098154	0.331835766129517	0	0.515376517857452	0.86201494391239
TCGA-24-1416-01A	0.0560670706228993	0.47649390664473	0	0.0655153113205341	0.0172755734245848	0.226831175053348	0	0.006143852537744	0.15167311039616	0	0.575097745056306	0.835192390771216
TCGA-29-1697-01A	0.0129509111715116	0.712173587428482	0	0.0645634552962063	0.00417995145435798	0.00768316498193547	0	0.0486052412727939	0.149843688394713	0	0.481135000566297	0.880201060904482
TCGA-04-1536-01A	0.0380472010377754	0.479983624860908	0	0.0467904193861352	0.00451479514198795	0	0	0.000520133388927145	0.430143826184266	0	0.504273803354893	0.867075952912191
TCGA-24-1928-01A	0.0502520609234722	0.519419763801587	0	0.0962589899833372	0.00159876103772677	0	0.198835426154331	0	0.133634998099546	0	0.672508556955598	0.752211460631421
