LncRNA name	MiRNA name	Gene name	Pubmed ID	Experimental method
DLEU2	miR-15a	CHK1	20060366	qPCR, Northern blot etc.
DLEU2	miR-15a	MCM5	20060366	qPCR, Northern blot etc.
DLEU2	miR-16-1	Bcl-2	19347735	qPCR etc.
DLEU2	miR-15a	Bcl-2	19347735	qPCR etc.
DLEU2	miR-16-1	CCND1	19347735	qPCR etc.
DLEU2	miR-15a	CCND1	19347735	qPCR etc.
DLEU2	miR-15a	cyclin E1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-16-1	cyclin E1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-15a	cyclin E1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-16-1	cyclin E1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-15a	cyclin E1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-16-1	cyclin E1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-15a	cyclin D1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-16-1	cyclin D1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-15a	cyclin D1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-16-1	cyclin D1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-15a	cyclin D1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DLEU2	miR-16-1	cyclin D1	19591824	qPCR, Western blot, Northern blot, Luciferase reporter assay etc.
DNM3OS	miR-199a	PTEN	20400975	qPCR etc.
DNM3OS	miR-214	PTEN	20400975	qPCR etc.
ENST00000515084	miR-370	NA	24879036	qPCR, Luciferase reporter assay, Cell viability assay, Transient transfection etc.
FER1L4	miR-106a-5p	FER1L4	26224446	qPCR, RNAi, Western blot, Luciferase reporter assay, Flow cytometry assay, Cell proliferation assay etc.
GAS5	miR-21	PTEN	26404135	qPCR, RNAi, Western blot, RIP, Luciferase reporter assay etc.
GAS5	miR-21	NA	23933812	qPCR, RNAi, Western blot, ISH, MTT assay etc.
H19	miR-141	caspase-3	27186302	qPCR, Western blot, MTT assay etc.
H19	miR-141	BCl-2	27186302	qPCR, Western blot, MTT assay etc.
H19	miR-675	VEGF	27186302	qPCR, Western blot, MTT assay etc.
H19	miR-675	IGF2	27186302	qPCR, Western blot, MTT assay etc.
H19	miR-29a	VASH2	27543358	qPCR, Cell transfection, Western blot etc.
H19	miR-675	NA	27994496	qPCR, Cell transfection, Cell proliferation assay, Cell migration and invasion assay etc.
H19	miR-107	c-Myc	26722426	qPCR, RNAi, ChIP, Luciferase reporter assay, Flow cytometry assay etc.
H19	miR-675	CDH13	24466011	microarray, qPCR, RNAi, Western blot, Luciferase reporter assay etc.
HOST2	let-7b	STAT3	25292198	qPCR, Western blot etc.
HOTAIR	miR-125a-5p	caspase2	26962687	qPCR, RNAi, Western blot, Flow cytometry assay etc.
HOTAIR	miR-125a-5p	caspase2	26962687	qPCR, RNAi, Western blot, Flow cytometry assay etc.
HOTAIR	miR-125a-5p	caspase2	26962687	qPCR, RNAi, Western blot, Flow cytometry assay etc.
HOTAIR	miR-125a-5p	caspase2	26962687	qPCR, RNAi, Western blot, Flow cytometry assay etc.
HOTAIR	miR-125a-5p	caspase2	26962687	qPCR, RNAi, Western blot, Flow cytometry assay etc.
AF147447	miR-34c	MUC2	27835575	microarray, qPCR, Western blot, Luciferase reporter assay etc.
AKR7L	miR-23b	DRD5	25765901	microarray, qPCR, RNAi etc.
AKR7L	miR-23b	GDF5	25765901	microarray, qPCR, RNAi etc.
ANRIL	miR-99a	PRC2	24810364	qPCR, RNAi, Western blot, RIP etc.
ANRIL	miR-449a	PRC2	24810364	qPCR, RNAi, Western blot, RIP etc.
ATB	miR-200a	TGFB	27267902	qPCR, RNAi, Western blot, Luciferase reporter assay, Cell proliferation assay etc.
ATB	miR-200c	ZEB1	25871474	microarray, qPCR, Western blot, Luciferase reporter assay, MTT assay etc.
ATB	miR-200c	ZNF-217	25871474	microarray, qPCR, Western blot, Luciferase reporter assay, MTT assay etc.
ATB	miR-200a	ZEB1	25986864	qPCR etc.
ATB	miR-200b	ZEB1	25986864	qPCR etc.
ATB	miR-200c	ZEB1	25986864	qPCR etc.
ATB	miR-200a	ZEB1	24768205	microarray, qPCR etc.
ATB	miR-200a	ZEB2	24768205	microarray, qPCR etc.
ATB	miR-200b	ZEB1	24768205	microarray, qPCR etc.
ATB	miR-200b	ZEB2	24768205	microarray, qPCR etc.
ATB	miR-200c	ZEB1	24768205	microarray, qPCR etc.
ATB	miR-200c	ZEB2	24768205	microarray, qPCR etc.
BANCR	miR-9	NFkB1	26248136	qPCR, RNAi, Western blot, MTT assay etc.
BC032469	miR-1207-5p	hTERT	26549025	microarray, qPCR, Western blot, Luciferase reporter assay etc.
BC040587	miR-23b	DRD5	25765901	microarray, qPCR, RNAi etc.
BC040587	miR-23b	GDF5	25765901	microarray, qPCR, RNAi etc.
